7
Pracownia projektowa 1;L;1;1;Kamil Piętak;Zdalnie;B;Wt;09:35;1
Pracownia projektowa 1;L;1;1;Szymon Szóstak;Zdalnie;A;Śr;09:35;52450
Pracownia projektowa 1;L;1;1;Cezary Czwarciak;Zdalnie;A;Czw;16:15;13
Teoria Nicości;L;1;1;Piotr Brzoza;Zdalnie;;Pn;09:35;1
Teoria Nicości;L;1;1;Agata Dąb;Zdalnie;;Śr;11:15;52450
Teoria Nicości;L;1;1;Władysław Wiąz;Zdalnie;;Pt;8:00;13
Złożona Teoria Nicości;L;1;1;Kamil Piętak;Zdalnie;A;Śr;12:45;1
Złożona Teoria Nicości;L;1;1;Szymon Szóstak;Zdalnie;A;Czw;12:45;52450
Złożona Teoria Nicości;L;1;1;Cezary Czwarciak;Zdalnie;A;Czw;14:40;13
Matematyka Jawna;L;2;1;Konrad Król;Zdalnie;A;Pn;16:15;1
Matematyka Jawna;L;2;1;Konrad Król;Zdalnie;A;Pn;17:50;52450
Matematyka Jawna;L;2;1;Lech Lamar;Zdalnie;A;Wt;16:15;13
Nadanaliza 2;L;1;1;Paweł Prostota;Zdalnie;A;Śr;8:00;1
Nadanaliza 2;L;1;1;Tomasz Trudnota;Zdalnie;A;Śr;08:00;52450
Nadanaliza 2;L;1;1;Tomasz Trudnota;Zdalnie;B;Czw;8:00;13
Przetwarzanie Sygnałów Analogowych;L;1;1;Karolina Kruska;Zdalnie;A;Wt;09:35;1
Przetwarzanie Sygnałów Analogowych;L;1;1;Ewa Ewelina;Zdalnie;A;Wt;09:35;52450
Przetwarzanie Sygnałów Analogowych;L;1;1;Ewa Ewelina;Zdalnie;A;Czw;17:50;13
Podstawy Baz Zabranych;L;1;1;Alicja Bałtyk;Zdalnie;A;Wt;14:40;1
Podstawy Baz Zabranych;L;1;1;Bogdan Caputa;Zdalnie;A;Pt;14:40;52450
Podstawy Baz Zabranych;L;1;1;Czarek Demagog;Zdalnie;A;Pt;16:15;13
